Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,9891,9891,9870,9761,9471,9522
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3933.1,3933.1,3924.8,3881.4,3766.1,3786.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4942,4942,4934,4856,4664,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4949,4949,4936,4905,4807,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.6,35.8,36,36.4,37,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,37,37.3,37.6,38.2,38.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36.2,36.5,36.7,37.3,37.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,7000,6983,6973,6864,6581,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,70.8,70.6,70.6,70.3,69.5,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,316,315,305,285,249,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,287,281,272,280,288,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,262,274,283,289,284,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,244,241,244,238,239,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,409,390,385,356,331,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,470,479,469,444,392,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,429,418,430,418,386,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,419,427,423,410,374,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,365,354,363,371,366,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,346,360,349,354,335,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,326,316,311,294,283,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,293,306,312,310,286,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,239,232,232,238,251,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,186,194,193,190,203,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,124,125,132,149,158,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,85,91,95,96,109,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,66,63,69,69,67,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,76,76,67,65,63,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.4,6.4,6.2,5.9,5.3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,5.8,5.7,5.5,5.8,6.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,5.3,5.5,5.7,6,6.1,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,4.9,4.9,4.9,4.9,5.1,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,8.3,7.9,7.8,7.3,7.1,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,9.5,9.7,9.5,9.1,8.4,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,8.7,8.5,8.7,8.6,8.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,8.5,8.6,8.6,8.4,8,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,7.4,7.2,7.4,7.6,7.8,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,7,7.3,7.1,7.3,7.2,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,6.6,6.4,6.3,6.1,6.1,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,5.9,6.2,6.3,6.4,6.1,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.8,4.7,4.7,4.9,5.4,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,3.8,3.9,3.9,3.9,4.4,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,2.5,2.5,2.7,3.1,3.4,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,1.7,1.8,1.9,2,2.3,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,1.3,1.3,1.4,1.4,1.4,
